agencies,city,total,native,asian,black,pacific,other,white,multi,latino,sub_total,native_arrests,asian_arrests,black_arrests,latino_arrests,pacific_arrests,other_arrests,white_arrests,arrest_total,native_percnt,asian_percnt,black_percnt,latino_percnt,pacific_percnt,other_percnt,white_percnt,native_arrests_percnt,asian_arrests_percnt,black_arrests_percnt,latino_arrests_percnt,pacific_arrests_percnt,other_arrests_percnt,white_arrests_percnt,native_diff,asian_diff,black_diff,latino_diff,pacific_diff,other_diff,white_diff,city_trim
Gladstone PD,Gladstone city,12017,56,210,83,41,50,7876,515,802,9674,4,17,48,33,2,24,724,852,0.005788712011577424,0.02170767004341534,0.008579698160016538,0.08290262559437668,0.004238164151333471,0.0051684928674798425,0.8141409964854248,0.004694835680751174,0.01995305164319249,0.056338028169014086,0.03873239436619718,0.002347417840375587,0.028169014084507043,0.8497652582159625,-0.0010938763308262498,-0.0017546184002228508,0.04775833000899755,-0.0441702312281795,-0.001890746310957884,0.0230005212170272,0.035624261730537676,Gladstone
Grants Pass PD,Grants Pass city,39189,312,429,177,61,165,25258,1754,2528,30745,15,14,82,228,8,164,3786,4297,0.01014799154334038,0.013953488372093023,0.005757033664010408,0.08222475199219385,0.001984062449178728,0.005366726296958855,0.8215319564156773,0.003490807540144287,0.003258087037468001,0.019083081219455435,0.05306027461019316,0.0018617640214102862,0.03816616243891087,0.881079823132418,-0.006657184003196093,-0.010695401334625022,0.013326047555445027,-0.029164477382000696,-1.2229842776844183e-4,0.032799436141952014,0.059547866716740616,Grants Pass
Gresham PD MIP,Gresham city,114247,703,5264,4025,824,385,56192,4426,15420,88063,56,105,870,677,42,66,2498,4314,0.007982921317693015,0.059775388074446704,0.04570591508351975,0.1751019156740061,0.00935693764691187,0.004371870138423628,0.6380886410864949,0.012980992118683357,0.024339360222531293,0.20166898470097358,0.15693092257765415,0.009735744089012517,0.015299026425591099,0.579044969865554,0.004998070800990342,-0.03543602785191541,0.15596306961745382,-0.01817099309635195,3.7880644210064665e-4,0.01092715628716747,-0.059043671220940896,Gresham
Hermiston PD,Hermiston city,19354,93,219,86,39,26,7383,435,5203,13523,47,14,93,796,4,10,1680,2644,0.006877172225097981,0.016194631368779116,0.0063595356060045845,0.38475190416327737,0.0028839754492346373,0.0019226502994897582,0.5459587369666494,0.01777609682299546,0.00529500756429652,0.03517397881996974,0.3010590015128593,0.0015128593040847202,0.0037821482602118004,0.6354009077155824,0.01089892459789748,-0.010899623804482596,0.028814443213965153,-0.08369290265041807,-0.0013711161451499172,0.0018594979607220422,0.08944217074893301,Hermiston
Hillsboro PD MIP,Hillsboro city,106447,363,11043,2195,384,417,46938,4039,16986,82749,62,118,544,1763,33,135,4492,7147,0.004386759960845448,0.13345176376753798,0.026526000314203192,0.20527136279592503,0.00464053946271254,0.005039335822789399,0.5672334408875032,0.00867496851825941,0.01651042395410662,0.07611585280537288,0.24667692738211838,0.004617321953267105,0.01888904435427452,0.6285154610326011,0.004288208557413961,-0.11694133981343136,0.049589852491169685,0.04140556458619335,-2.3217509445435346e-5,0.013849708531485122,0.06128202014509798,Hillsboro
Hood River PD,Hood River city,8313,29,146,18,3,23,4519,268,1272,6281,114,5,25,301,4,287,1114,1850,0.004617099188027384,0.023244706256965453,0.0028657857029135486,0.2025155230058908,4.776309504855915e-4,0.003661837287056201,0.7194714217481293,0.061621621621621624,0.002702702702702703,0.013513513513513514,0.1627027027027027,0.002162162162162162,0.15513513513513513,0.6021621621621621,0.05700452243359424,-0.02054200355426275,0.010647727810599965,-0.039812820303188085,0.0016845312116765708,0.15147329784807892,-0.11730925958596716,Hood River
Keizer PD,Keizer city,39376,312,649,255,256,145,21400,1437,5437,30147,9,14,57,227,12,85,967,1371,0.01034928848641656,0.021527846883603676,0.008458553089859688,0.18034962019438086,0.00849172388629051,0.004809765482469234,0.7098550436195973,0.006564551422319475,0.010211524434719184,0.04157549234135667,0.16557257476294676,0.0087527352297593,0.06199854121079504,0.7053245805981035,-0.003784737064097085,-0.011316322448884492,0.03311693925149698,-0.0147770454314341,2.610113434687901e-4,0.05718877572832581,-0.004530463021493736,Keizer
La Grande PD,La Grande city,13026,100,117,93,321,47,8397,527,572,10495,6,9,23,32,35,11,1026,1142,0.009528346831824679,0.011148165793234873,0.00886136255359695,0.05450214387803716,0.030585993330157216,0.004478323010957599,0.8000952834683183,0.005253940455341506,0.00788091068301226,0.020140105078809107,0.028021015761821366,0.03064798598949212,0.009632224168126095,0.8984238178633975,-0.0042744063764831725,-0.003267255110222614,0.011278742525212156,-0.026481128116215794,6.199265933490294e-5,0.005153901157168496,0.09832853439507927,La Grande
Lake Oswego PD,Lake Oswego city,40731,51,2514,254,45,160,26440,1363,1464,32336,2,17,53,55,5,25,680,837,0.0015771895101434933,0.07774616526472043,0.00785502226620485,0.04527461652647204,0.0013916378030677883,0.004948045522018802,0.8176645225136071,0.0023894862604540022,0.02031063321385902,0.06332138590203107,0.06571087216248507,0.005973715651135006,0.02986857825567503,0.8124253285543608,8.122967503105089e-4,-0.05743553205086141,0.055466363635826216,0.020436255636013027,0.0045820778480672175,0.024920532733656228,-0.005239193959246324,Lake Oswego
Lincoln City PD,Lincoln City city,9815,184,177,52,16,51,6519,475,809,8299,24,15,37,75,1,88,757,997,0.022171345945294615,0.02132787082781058,0.006265815158452826,0.09748162429208339,0.0019279431256777925,0.006145318713097964,0.7855163272683456,0.024072216649949848,0.015045135406218655,0.037111334002006016,0.07522567703109329,0.0010030090270812437,0.08826479438314945,0.7592778335005015,0.0019008707046552324,-0.006282735421591924,0.03084551884355319,-0.022255947260990103,-9.249340985965488e-4,0.08211947567005148,-0.02623849376784415,Lincoln City
