agencies,city,total,native,asian,black,pacific,other,white,multi,latino,sub_total,native_arrests,asian_arrests,black_arrests,latino_arrests,pacific_arrests,other_arrests,white_arrests,arrest_total,native_percnt,asian_percnt,black_percnt,latino_percnt,pacific_percnt,other_percnt,white_percnt,native_arrests_percnt,asian_arrests_percnt,black_arrests_percnt,latino_arrests_percnt,pacific_arrests_percnt,other_arrests_percnt,white_arrests_percnt,native_diff,asian_diff,black_diff,latino_diff,pacific_diff,other_diff,white_diff,city_trim
Stayton PD,Stayton city,8244,74,62,29,9,27,4752,355,902,6219,1,1,6,34,1,19,387,449,0.01189901913490915,0.009969448464383341,0.0046631291204373695,0.1450393954011899,0.001447178002894356,0.004341534008683068,0.76410998552822,0.0022271714922048997,0.0022271714922048997,0.013363028953229399,0.0757238307349666,0.0022271714922048997,0.042316258351893093,0.8619153674832962,-0.00967184764270425,-0.007742276972178441,0.00869989983279203,-0.06931556466622331,7.799934893105438e-4,0.037974724343210024,0.09780538195507626,Stayton
Sweet Home PD,Sweet Home city,9828,91,45,26,10,41,6511,502,350,7586,2,1,16,17,1,19,1314,1370,0.011995781703137358,0.0059319799630899025,0.003427366200896388,0.04613762193514369,0.001318217769575534,0.005404692855259689,0.8582915897706301,0.00145985401459854,7.2992700729927e-4,0.01167883211678832,0.012408759124087591,7.2992700729927e-4,0.013868613138686132,0.9591240875912409,-0.010535927688538818,-0.005202052955790633,0.008251465915891933,-0.033728862811056096,-5.882907622762639e-4,0.008463920283426444,0.10083249782061077,Sweet Home
Talent PD,Talent city,6282,32,79,15,7,52,4039,246,699,5176,2,1,10,17,1,2,325,358,0.0061823802163833074,0.015262751159196291,0.0028979907264296756,0.13504636785162288,0.0013523956723338485,0.010046367851622875,0.7803323029366306,0.00558659217877095,0.002793296089385475,0.027932960893854747,0.04748603351955307,0.002793296089385475,0.00558659217877095,0.9078212290502793,-5.957880376123575e-4,-0.012469455069810816,0.02503497016742507,-0.0875603343320698,0.0014409004170516265,-0.004459775672851925,0.1274889261136487,Talent
The Dalles PD,The Dalles city,16010,131,167,64,113,49,9120,519,2301,12577,186,19,46,468,29,64,2565,3377,0.010415838435238928,0.013278206249503061,0.005088653892025125,0.18295300946171583,0.008984654528106862,0.0038960006360817365,0.7251331796135804,0.055078472016582766,0.005626295528575659,0.013621557595498964,0.1385845424933373,0.008587503701510216,0.018951732306781165,0.759549896357714,0.04466263358134384,-0.0076519107209274025,0.00853290370347384,-0.04436846696837854,-3.971508265966459e-4,0.01505573167069943,0.0344167167441336,The Dalles
Tigard PD,Tigard city,54539,142,3968,757,374,222,30355,2219,5060,43471,29,66,274,153,34,131,1688,2375,0.003266545513100688,0.09127924363368682,0.017413908122656484,0.11639943870626394,0.008603436773941249,0.005106852844425019,0.6982816130293759,0.012210526315789474,0.027789473684210527,0.11536842105263158,0.06442105263157895,0.01431578947368421,0.05515789473684211,0.7107368421052631,0.008943980802688786,-0.06348976994947629,0.09795451292997509,-0.051978386074684996,0.005712352699742962,0.05005104189241709,0.012455229075887253,Tigard
Tualatin PD,Tualatin city,27942,72,955,249,225,97,15395,1096,3403,21717,12,29,108,216,65,74,939,1443,0.003315375051802735,0.04397476631210572,0.011465672054151126,0.1566975180733987,0.010360547036883548,0.004466546944789796,0.7088916517014321,0.008316008316008316,0.020097020097020097,0.07484407484407485,0.1496881496881497,0.04504504504504504,0.05128205128205128,0.6507276507276507,0.005000633264205582,-0.023877746215085625,0.06337840278992372,-0.007009368385249015,0.03468449800816149,0.046815504337261483,-0.05816400097378138,Tualatin
Umatilla PD,Umatilla city,7363,103,35,185,2,21,2897,92,2267,5604,14,1,29,282,3,7,591,927,0.018379728765167736,0.006245538900785153,0.03301213418986438,0.4045324768022841,3.5688793718772306e-4,0.003747323340471092,0.5169521770164168,0.015102481121898598,0.0010787486515641855,0.03128371089536138,0.3042071197411003,0.003236245954692557,0.007551240560949299,0.6375404530744336,-0.003277247643269138,-0.005166790249220968,-0.0017284232945029981,-0.10032535706118378,0.002879358017504834,0.003803917220478207,0.12058827605801681,Umatilla
Warrenton PD,Warrenton city,6277,42,96,31,20,27,4004,283,339,4862,12,4,21,62,2,152,1609,1862,0.008638420403126285,0.01974496092143151,0.006375976964212258,0.06972439325380501,0.004113533525298231,0.0055532702591526125,0.8235294117647058,0.00644468313641246,0.0021482277121374865,0.011278195488721804,0.03329752953813104,0.0010741138560687433,0.08163265306122448,0.864124597207304,-0.002193737266713825,-0.017596733209294023,0.004902218524509546,-0.036426863715673975,-0.0030394196692294876,0.07607938280207187,0.0405951854425981,Warrenton
Washington SO,Durham city,1944,7,67,25,33,15,1010,88,248,1526,95,370,1527,2115,66,306,10473,14952,0.0045871559633027525,0.043905635648754916,0.0163826998689384,0.16251638269986893,0.02162516382699869,0.009829619921363041,0.6618610747051114,0.00635366506153023,0.024745853397538792,0.10212680577849118,0.14145264847512037,0.004414125200642055,0.020465489566613163,0.7004414125200642,0.0017665090982274777,-0.019159782251216124,0.08574410590955278,-0.021063734224748554,-0.017211038626356638,0.010635869645250122,0.03858033781495285,Durham
West Linn PD,West Linn city,27373,61,1080,175,23,105,17259,1023,950,20699,6,9,30,31,6,23,418,523,0.002947002270641094,0.0521764336441374,0.008454514710855596,0.045895937001787526,0.0011111647905695926,0.005072708826513358,0.8338083965408957,0.011472275334608031,0.017208413001912046,0.05736137667304015,0.05927342256214149,0.011472275334608031,0.04397705544933078,0.7992351816443595,0.008525273063966938,-0.03496802064222535,0.04890686196218455,0.013377485560353966,0.010361110544038439,0.03890434662281742,-0.0345732148965362,West Linn
Winston PD,Winston city,5625,66,49,13,1,29,3748,255,207,4369,19,8,26,23,1,6,1634,1717,0.015106431677729458,0.01121538109407187,0.002975509269855802,0.04737926298924239,2.2888532845044633e-4,0.006637674525062943,0.8578622110322728,0.0110658124635993,0.004659289458357601,0.015142690739662202,0.013395457192778102,5.824111822947001e-4,0.0034944670937682005,0.9516598718695399,-0.004040619214130157,-0.006556091635714269,0.0121671814698064,-0.03398380579646429,3.5352585384425375e-4,-0.003143207431294743,0.09379766083726715,Winston
Woodburn PD,Woodburn city,26013,65,211,70,30,52,7676,452,10335,18921,3,17,47,2357,4,24,881,3333,0.0034353363987104277,0.011151630463506158,0.003699593044765076,0.5462184873949579,0.0015855398763278896,0.002748269118968342,0.405686803023096,9.000900090009e-4,0.0051005100510051,0.014101410141014101,0.7071707170717072,0.0012001200120012002,0.0072007200720072,0.26432643264326433,-0.0025352463897095278,-0.006051120412501058,0.010401817096249025,0.16095222967674927,-3.8541986432668934e-4,0.004452450953038858,-0.14136037037983168,Woodburn
